,href formula,href
2002,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.00.00.b-Lootz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.00.00.b-Lootz.pdf
2003,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.00.00.a-NV-SandridgeBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1999.00.00.a-NV-SandridgeBeach.pdf
2004,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.24-AndyThompson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.24-AndyThompson.pdf
2005,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.22-O'Leary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.22-O'Leary.pdf
2006,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.20.R-Harrison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.20.R-Harrison.pdf
2007,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.18-vanderMerwe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.18-vanderMerwe.pdf
2008,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.15-female surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.12.15-female surfer.pdf
2009,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.21-Tellasmon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.21-Tellasmon.pdf
2010,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.14-LarryFoor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.14-LarryFoor.pdf
2011,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.11-NV-IndianRiverCounty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.11-NV-IndianRiverCounty.pdf
2012,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.05-Inskeep_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.05-Inskeep_Collier.pdf
2013,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.02.b-Kodama.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.02.b-Kodama.pdf
2014,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.02.a-deFrietas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.11.02.a-deFrietas.pdf
2015,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.24-Stephens.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.24-Stephens.pdf
2016,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.18-Victor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.18-Victor.pdf
2017,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.10-Ruszkowski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.10-Ruszkowski.pdf
2018,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.04-JulioCesarDeBarrosCorreia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.04-JulioCesarDeBarrosCorreia.pdf
2019,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.01.b-Reunion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.01.b-Reunion.pdf
2020,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.01.a-Duncan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.10.01.a-Duncan.pdf
2021,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.27-KaiHaire.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.27-KaiHaire.pdf
2022,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.22-Blackstock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.22-Blackstock.pdf
2023,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.16.R-Rielly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.16.R-Rielly.pdf
2024,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.14-DannyHoopes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.14-DannyHoopes.pdf
2025,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.00-Senegal.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.09.00-Senegal.pdf
2026,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.30-Howington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.30-Howington.pdf
2027,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.27-Catalani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.27-Catalani.pdf
2028,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.26-Kathrein_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.26-Kathrein_Collier.pdf
2029,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.23.R-VirginiaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.23.R-VirginiaBeach.pdf
2030,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.15-Paffrath.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.15-Paffrath.pdf
2031,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.13-Parcus.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.13-Parcus.pdf
2032,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.12-Goosen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.12-Goosen.pdf
2033,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.01.b-RossTaylor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.01.b-RossTaylor.pdf
2034,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.01.a-Lombard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.08.01.a-Lombard.pdf
2035,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.26-Menezes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.26-Menezes.pdf
2036,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.25-Rinto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.25-Rinto.pdf
2037,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.06.b-ClarkThomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.06.b-ClarkThomas.pdf
2038,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.11-DarrenJames.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.11-DarrenJames.pdf
2039,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.06.a-MarkThomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.07.06.a-MarkThomas.pdf
2040,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.28-Chesser.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.28-Chesser.pdf
2041,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.22-deVos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.22-deVos.pdf
2042,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.08-Catarra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.08-Catarra.pdf
2043,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.05-Bravier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.06.05-Bravier.pdf
2044,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.30-Harrington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.30-Harrington.pdf
2045,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.29.b-Jucker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.29.b-Jucker.pdf
2046,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.29.a-Opperman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.29.a-Opperman.pdf
2047,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.25-Mounteer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.25-Mounteer.pdf
2048,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.16.c-Dickinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.16.c-Dickinson.pdf
2049,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.16.b-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.16.b-Moore.pdf
2050,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.16.a-Stephenson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.05.16.a-Stephenson.pdf
2051,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.04.26-VonMollendorf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.04.26-VonMollendorf.pdf
2052,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.04.21-Forse_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1998.04.21-Forse_Collier.pdf
